[a5] 24 total runs (group x horizon), fusion=concat
[a5_single_weekly_concat_5d] epoch 025/060 val_loss=338.24478760 best_val_loss=338.24478760 bad_epochs=0/8 epoch_time=00:00:16 eta=00:09:31
[a5_single_weekly_concat_5d] epoch 026/060 val_loss=555.19400024 best_val_loss=338.24478760 bad_epochs=1/8 epoch_time=00:00:16 eta=00:09:14
[a5_single_weekly_concat_5d] epoch 027/060 val_loss=583.17996216 best_val_loss=338.24478760 bad_epochs=2/8 epoch_time=00:00:16 eta=00:08:58
[a5_single_weekly_concat_5d] epoch 028/060 val_loss=582.49114380 best_val_loss=338.24478760 bad_epochs=3/8 epoch_time=00:00:16 eta=00:08:42
[a5_single_weekly_concat_5d] epoch 029/060 val_loss=576.73135986 best_val_loss=338.24478760 bad_epochs=4/8 epoch_time=00:00:16 eta=00:08:26
[a5_single_weekly_concat_5d] epoch 030/060 val_loss=575.41345825 best_val_loss=338.24478760 bad_epochs=5/8 epoch_time=00:00:16 eta=00:08:09
[a5_single_weekly_concat_5d] epoch 031/060 val_loss=568.91986084 best_val_loss=338.24478760 bad_epochs=6/8 epoch_time=00:00:16 eta=00:07:53
[a5_single_weekly_concat_5d] epoch 032/060 val_loss=213.80182190 best_val_loss=213.80182190 bad_epochs=0/8 epoch_time=00:00:16 eta=00:07:37
[a5_single_weekly_concat_5d] epoch 033/060 val_loss=194.76225891 best_val_loss=194.76225891 bad_epochs=0/8 epoch_time=00:00:16 eta=00:07:20
[a5_single_weekly_concat_5d] epoch 034/060 val_loss=190.23009644 best_val_loss=190.23009644 bad_epochs=0/8 epoch_time=00:00:16 eta=00:07:04
[a5_single_weekly_concat_5d] epoch 035/060 val_loss=188.45673828 best_val_loss=188.45673828 bad_epochs=0/8 epoch_time=00:00:16 eta=00:06:48
[a5_single_weekly_concat_5d] epoch 036/060 val_loss=187.47790527 best_val_loss=187.47790527 bad_epochs=0/8 epoch_time=00:00:16 eta=00:06:31
[a5_single_weekly_concat_5d] epoch 037/060 val_loss=185.51362610 best_val_loss=185.51362610 bad_epochs=0/8 epoch_time=00:00:16 eta=00:06:15
[a5_single_weekly_concat_5d] epoch 038/060 val_loss=109.80887299 best_val_loss=109.80887299 bad_epochs=0/8 epoch_time=00:00:16 eta=00:05:59
